838130,2022-06-25,134,794,6,8,23,9,14,9,10,70%,558,489
838131,2022-07-03,125,151,3,10,20,7,10,10,3,48%,374,294
838132,2022-07-02,124,131,2,1,3,None,2,1,4,42%,373,309
838133,2022-07-04,794,120,1,6,9,2,3,6,4,36%,248,167
838134,2022-07-03,121,134,4,3,13,6,5,8,2,29%,229,140
838135,2022-07-02,128,127,6,4,11,1,9,2,3,55%,486,424
838136,2022-07-02,152,1062,5,1,8,2,6,2,6,44%,477,418
838137,2022-07-02,129,119,5,4,12,3,9,3,2,39%,258,200
838138,2022-07-03,144,126,2,3,8,3,6,2,None,47%,345,270
838139,2022-07-03,145,1193,3,6,13,4,8,5,4,40%,373,287
838140,2022-07-03,147,154,7,8,22,7,8,14,6,62%,475,417
838141,2022-07-10,1062,126,2,2,6,2,2,4,4,41%,340,267
838142,2022-07-09,124,129,6,4,17,7,11,6,10,41%,342,271
838143,2022-07-09,794,145,2,3,8,3,5,3,7,54%,434,354
838144,2022-07-10,131,127,4,4,12,4,7,5,3,51%,457,380
838145,2022-07-10,128,144,4,6,15,5,8,7,10,52%,368,309
838146,2022-07-11,119,125,7,1,9,1,6,3,2,32%,307,219
838147,2022-07-10,154,121,5,2,12,5,5,7,6,61%,454,381
838148,2022-07-09,151,134,4,10,20,6,7,13,2,66%,481,415
838149,2022-07-10,1193,120,2,3,6,1,5,1,2,53%,472,390
838150,2022-07-10,147,152,6,5,14,3,9,5,6,52%,416,341
838152,2022-07-16,127,147,None,7,17,10,5,12,6,45%,448,392
838156,2022-07-17,152,151,1,11,16,4,6,10,4,39%,306,232
838157,2022-07-17,129,131,4,5,11,2,8,3,2,55%,541,461
838159,2022-07-16,145,128,2,1,6,3,3,3,8,59%,473,398
838160,2022-07-16,134,119,3,10,17,4,9,8,5,40%,336,250
838154,2022-07-18,121,1193,1,3,6,2,4,2,4,39%,314,232
838161,2022-07-21,125,121,5,9,17,3,11,6,7,52%,419,340
838162,2022-07-20,127,152,2,5,8,1,3,5,4,37%,314,259
838163,2022-07-20,794,154,3,4,10,3,6,4,9,45%,320,224
838164,2022-07-21,131,147,4,4,8,None,4,4,2,39%,371,306
838165,2022-07-21,128,120,10,6,23,7,11,12,4,64%,553,482
838166,2022-07-20,119,126,4,4,8,None,7,1,3,66%,584,519
838167,2022-07-20,129,145,2,8,16,6,7,9,3,55%,442,367
838168,2022-07-20,151,124,10,4,17,3,11,6,3,73%,604,546
838169,2022-07-21,1193,1062,4,1,7,2,2,5,2,68%,672,606
838170,2022-07-20,134,144,5,9,15,1,7,8,2,57%,527,448
838171,2022-07-24,1062,131,3,3,7,1,3,4,None,47%,473,376
838172,2022-07-24,124,794,1,3,4,None,2,2,5,39%,332,240
838173,2022-07-23,126,151,9,2,13,2,9,4,3,36%,305,247
838174,2022-07-24,121,119,5,2,11,4,3,8,5,48%,373,291
838175,2022-07-24,120,134,4,5,16,7,11,5,11,46%,409,329
838176,2022-07-24,152,129,4,9,17,4,7,10,3,56%,426,364
838177,2022-07-24,154,128,3,5,11,3,8,3,5,48%,375,268
838178,2022-07-24,144,125,3,5,10,2,5,5,3,36%,317,216
838179,2022-07-24,145,127,8,5,19,6,16,3,5,57%,453,387
838180,2022-07-25,147,1193,None,6,8,2,1,7,4,58%,487,410
838181,2022-07-31,125,145,3,4,9,2,5,4,7,52%,420,333
838182,2022-07-30,127,144,1,2,5,2,1,4,3,48%,431,363
838183,2022-07-31,794,152,3,3,9,3,6,3,5,48%,420,334
838184,2022-07-30,131,120,3,4,9,2,4,5,3,51%,434,351
838185,2022-08-01,128,124,7,3,12,2,6,6,5,67%,656,599
838186,2022-07-31,119,1062,5,10,21,6,10,11,7,69%,600,532
838187,2022-07-30,129,121,7,5,16,4,8,8,5,53%,424,367
838188,2022-07-30,151,147,3,10,20,7,14,6,7,50%,352,282
838189,2022-07-31,1193,154,2,3,7,2,5,2,3,44%,341,263
838190,2022-07-31,134,126,2,6,12,4,8,4,5,60%,482,409
838191,2022-08-07,1062,134,5,2,10,3,5,5,2,36%,288,229
838192,2022-08-07,124,1193,1,2,8,5,5,3,6,36%,303,234
838193,2022-08-06,126,127,7,11,20,2,11,9,3,46%,422,338
838194,2022-08-07,121,151,2,5,8,1,5,3,4,44%,339,273
838195,2022-08-06,120,129,5,7,16,4,9,7,8,60%,526,443
838196,2022-08-06,152,125,4,2,10,4,3,7,2,35%,278,193
838197,2022-08-07,154,119,2,3,7,2,3,4,5,67%,548,477
838198,2022-08-06,144,794,6,10,21,5,11,10,10,57%,448,386
838199,2022-08-06,145,131,4,7,14,3,9,5,8,59%,520,423
838200,2022-08-08,147,128,5,6,17,6,6,11,7,52%,466,397
838201,2022-08-14,125,128,2,5,11,4,4,7,6,61%,538,429
838202,2022-08-14,127,134,3,1,5,1,None,5,4,31%,260,200
838203,2022-08-14,126,794,4,6,11,1,5,6,4,49%,363,300
838204,2022-08-13,131,121,3,5,9,1,3,6,3,43%,368,283
838205,2022-08-14,120,144,2,7,11,2,6,5,3,46%,395,311
838206,2022-08-14,119,124,None,1,7,6,3,4,5,67%,626,565
838207,2022-08-14,129,154,6,4,12,2,9,3,8,35%,265,168
838208,2022-08-13,151,145,3,8,13,2,6,7,2,54%,392,317
838209,2022-08-13,1193,152,3,2,5,None,3,2,4,55%,443,364
838210,2022-08-14,147,1062,7,10,19,2,9,10,8,59%,525,437
838211,2022-08-20,1062,151,3,2,5,None,1,4,None,27%,233,146
838212,2022-08-20,124,147,3,1,7,3,3,4,3,36%,334,277
838213,2022-08-21,794,129,2,4,8,2,4,4,2,42%,326,239
838214,2022-08-21,121,127,5,4,11,2,10,1,4,44%,385,295
838215,2022-08-21,128,126,6,8,18,4,10,8,9,71%,666,579
838216,2022-08-21,152,120,9,7,19,3,12,7,4,65%,557,484
838217,2022-08-21,154,131,1,6,7,None,3,4,7,63%,493,401
838218,2022-08-21,144,1193,8,8,24,8,10,14,17,63%,482,427
838219,2022-08-22,145,119,5,4,13,4,10,3,4,50%,472,380
838220,2022-08-21,134,125,3,8,12,1,8,4,7,42%,370,280
838221,2022-08-28,125,1062,4,10,16,2,3,13,1,57%,422,331
838222,2022-08-27,124,121,2,3,8,3,5,3,3,39%,349,287
838223,2022-08-28,126,154,1,3,5,1,1,4,2,28%,240,157
838225,2022-08-28,120,127,1,3,6,2,4,2,4,54%,499,398
838227,2022-08-28,129,134,1,5,8,2,4,4,3,41%,290,212
838228,2022-08-27,151,144,2,5,10,3,5,5,3,69%,487,418
838229,2022-08-28,1193,128,1,3,7,3,4,3,2,53%,452,373
838230,2022-08-27,147,145,2,5,12,5,7,5,5,56%,458,394
